video_id,video_duration_seconds
aLgbDbCieoo,1304.0
aR0O45sy8Co,483.0
Fs4b4jHp71k,2158.0
HFX8SRz6G8U,639.0
GrTZTceaa5w,1336.0
jJDDypGuROM,1205.0
iiOMz2gBQi0,2425.0
xLlbmpXy0ec,874.0
zAbjLWrphHM,31.0
_Y5HwQgLiOw,2426.0
8bk3Pipt1MM,44.0
GXRjwdmxotM,1967.0
ZIAY2Lp1L1w,897.0
2C9WJQAnQnA,547.0
DnybN4eRI2U,262.0
3UxBVT_kYgs,727.0
SH-bPxOAiE4,177.0
62Mny-APYXE,681.0
VLPrPAkluho,1251.0
ccecNpY5m0c,761.0
UnHxMSo7q1g,96.0
t_W2dwpc6_M,581.0
yqJWB8KvnzQ,2896.0
XfuMEmcz3k0,249.0
a_tYHLognUE,36.0
KJGiUV2oV3o,112.0
n0Lggrc_vdQ,62.0
fOx2vd5WO6c,45.0
dFz2jVjbm8Y,36.0
yVDWQCjuAv4,256.0
VDe22ZLMMdg,297.0
zmFygS2oGkw,2297.0
VgQnIIjon-s,1021.0
fRUx1BN2WZA,1330.0
Ethg8wIyQow,3528.0
LwcaRdffjfA,172.0
b6L5zqayaVs,619.0
9XWkTCHnSjo,757.0
TnzuYHGYhVo,640.0
tRpNsWxKdak,804.0
0JumRdHdILY,2511.0
iJle1Q1zX0Q,232.0
xDiaBZg7D7Y,895.0
grfyi3bFBEo,2396.0
xXyOB3Hx8bE,1201.0
N_nRsmsPw0I,391.0
XUdcXkvYJs0,145.0
NiY3qPPZO8s,65.0
2r-En9Hqzvg,2206.0
ljXNIeC2qRI,1217.0
99dMhX-vKuU,179.0
j_MuZmJNirw,56.0
hxVjj9j4ec0,966.0
dYUKphvBnUI,2247.0
kULGRM0Vf8E,2136.0
KZkqg4H7-M0,1342.0
Q7YQ8kAUtGA,136.0
IkuJQjPpf40,1261.0
DE3Gmbo5r7Q,1658.0
Nvugfs0kuOE,71.0
QbQk_7sFec4,151.0
CUn63v70OJ8,607.0
gUmrmUI2byM,607.0
2UHsQVlU_-c,642.0
k25-5UwbOv8,1348.0
08alafhCRKU,113.0
A4MKFPCpRQ4,171.0
T7iCk2YV9WE,1467.0
stiVa9YQYP0,2680.0
OY2DGoPTwfw,216.0
1ZGF_K53h98,200.0
QEtV0Buucac,1840.0
YRSyGgZ8Nkg,858.0
qYi9Uuv-m9U,41.0
T0U9j6ux3IM,35.0
-UoL6MEV1Mg,1460.0
ENqRkYxPMF0,36.0
o-JMgxSjpBA,869.0
lBH966OMwfo,306.0
CTc7OXmfEZ4,1009.0
Oe6akWePNe4,1289.0
TEp7CERKlpQ,297.0
PCizAVWP-ks,966.0
7nNTo_F7SgE,569.0
bX6NBoHLXfI,403.0
i-lY5x5E7hg,1120.0
-zo37Ui-wos,29.0
g055tXO3VZ0,638.0
1XqIWr_WqM4,255.0
kb3GTou6APw,656.0
C_hWpOA2K8c,631.0
IWCg4IKWMcA,1211.0
IsoscaNrCyE,2793.0
3hZ08hN9DS8,733.0
p9-csooT9_U,646.0
_rdFIj-XejA,1145.0
H8BR0rD8GNQ,644.0
4AjBp4jyQRc,261.0
J2pdugNCwpg,864.0
aLpD4-eG6BM,2679.0
9fpNkZ3vFmU,830.0
YY58Qga5BxA,1266.0
s8jyjRHNKJY,1793.0
18874_PSQY4,79.0
SvNEY1lNq-k,1122.0
nShtLlVLetg,159.0
Bq7ELzunhig,217.0
ioIAfVvz1_I,1059.0
vhDzRSGoTi4,1756.0
vG5srwzkzzI,822.0
asavUhl4-JM,37.0
IC3cK-GS2WM,1269.0
8GxzquY0xVY,1234.0
ryC2K7X1eCY,652.0
ZVgergj8Xe4,164.0
ufYIqLERWZU,29.0
gr3hfnwDjls,379.0
qE6u5GsKJWw,1071.0
Dg0tjCWRE1k,1178.0
mO4k0oJt_NI,1354.0
nLtgZBG0DlM,132.0
-CnLhGzVimg,1022.0
2BE4KvRpzm8,893.0
dRJqAEihg9Q,651.0
JbrAdHkjDOk,622.0
eLUbnvrY7_o,903.0
NkXBBYtTzjY,363.0
wcBcC0fS0js,733.0
1oS6Ej_GiU0,615.0
_t1CurEm-J4,288.0
Gw77Nx4eBMc,149.0
O6oGy_D76z4,281.0
5WfTEZJnv_8,139.0
Edn9iBFM2gs,36.0
BQM-EfYafV8,208.0
-pcXwcV2MGQ,535.0
9Q23hvdGeDU,611.0
EfxUTLooxfA,30.0
EJ86f1kqEmM,625.0
VGj-uPpE-2w,606.0
bOi_VX69qqw,1284.0
YMCI8godjt4,232.0
1y9tUcXFbqI,195.0
hGLRuWFTS4s,211.0
ogYe5Pi7cwQ,38.0
7k3N7wfGsfk,524.0
XbNVS_--KsA,40.0
QjdAGgdxnos,34.0
uQ_Lgeir-Rg,2356.0
fBzMJAuaycQ,317.0
KiAa6zCk7-w,202.0
5yHnna8M9xE,2336.0
HLxt5WmQVeE,210.0
GdVbXOh5kzY,2259.0
f0TF3gh5Ph8,872.0
57B-mY3xJyU,1354.0
GJ_VyC72O7s,639.0
DLgyXrs5DfA,1377.0
8MDUOxXEjRg,1167.0
J6zRUQrU2CM,126.0
m8i5JiDU9mo,609.0
eM-nNhM0ynk,1188.0
sjGofRrlZkE,891.0
RDd0wqLVh9I,607.0
VEZ0_xooKX0,567.0
y89xQwqb2MU,561.0
cvAtKbcITJw,1151.0
NPpG2SI4jko,235.0
Mr8Km8QEbgM,1156.0
gmd6iaBHykU,89.0
vQmBgygKBGw,3587.0
9AoBVecTw4U,2094.0
70KuAKRCkOQ,629.0
Yu7LnxyYog0,726.0
