video_id,trending_status,video_duration_minutes,log_prior_trending_count,publish_day,publish_hour,log_video_duration_minutes,title_length,title_sentiment_compound,title_has_emoji,tags_count,title_tag_ratio,log_description_length,desc_links_count,desc_hashtags_count,desc_sentiment,desc_richness
yovCrp3eRJo,Non-Trending,0.6333333333333333,1.0986122886681098,Sunday,5,0.4906229164484712,94,0.0,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yoyDj-Bogk8,Trending,13.35,1.9459101490553132,Saturday,11,2.66374994220563,75,0.0,0,26,0.0,6.192362489474872,1.0,6.0,0.8036,0.014344262295081968
ypEe4TwxBmc,Non-Trending,3.933333333333333,0.6931471805599453,Monday,13,1.5960148921019597,87,0.0,0,18,0.0,6.927557906278317,3.0,6.0,-0.4466,0.008832188420019628
ypN1PSk3kpw,Trending,,3.1780538303479458,Friday,12,,56,0.0,0,21,0.0,7.083387847625295,1.0,3.0,0.8118,0.0033585222502099076
ypRejIhFDno,Trending,0.75,4.477336814478207,Friday,7,0.5596157879354227,80,0.0,0,24,0.0,6.923628628138427,6.0,3.0,-0.0603,0.008866995073891626
ypbhM3WB6nQ,Trending,16.55,2.302585092994046,Sunday,6,2.865053949911875,92,0.0,0,18,0.07142857142857142,7.098375638590786,10.0,9.0,0.9456,0.015715467328370553
yps4UPZ-hks,Non-Trending,0.9333333333333333,2.3978952727983707,Saturday,12,0.659245628884264,49,0.0,0,17,0.0,7.5480289699350145,4.0,7.0,0.9429,0.0058016877637130804
ypx9Z2bSviQ,Trending,8.416666666666666,5.58724865840025,Wednesday,8,2.24248116892434,65,0.6369,0,18,0.1,7.472500744737558,11.0,21.0,0.6122,0.01820250284414107
yqAgmtE9NdY,Trending,5.966666666666667,1.0986122886681098,Saturday,9,1.9411368703026557,8,-0.2905,0,7,0.0,4.584967478670572,1.0,0.0,0.0,0.010309278350515464
yqGyKh-njYQ,Trending,0.5833333333333334,5.955837369464831,Sunday,5,0.4595323293784402,56,0.0,0,14,0.0,5.602118820879701,1.0,6.0,0.0,0.025925925925925925
yqJWB8KvnzQ,Trending,48.266666666666666,1.6094379124341003,Thursday,22,3.897247719845992,100,0.4019,0,21,0.1111111111111111,8.432288684325794,4.0,15.0,0.9899,0.004137630662020906
